type;mapping;subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label;replaces;aligns;implements
standard;hrim:B382F827;obo:GSSO_000389;"""cisgender person""@en";hriv:hasExactMeaning;Not;hrio:CisgenderPerson;"""Cisgender Person""@en";;;
standard;hrim:D14D1EAA;obo:GSSO_001501;"""indeterminate sex""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en";;;
standard;hrim:E61BD4F0;obo:GSSO_001501;"""indeterminate sex""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthIndeterminateSex;"""Sex-at-birth Indeterminate Sex""@en";;;
standard;hrim:FFF2AAC4;obo:GSSO_001501;"""indeterminate sex""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSexPerson;"""Indeterminate-sex Person""@en";;;
standard;hrim:D5CC2E9A;obo:GSSO_002328;"""nonbinary gender identity""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedNonBinaryGender;"""Self-identified Non-binary Gender""@en";;;
standard;hrim:019A9367;obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;Not;hrio:CisgenderPerson;"""Cisgender Person""@en";;;
standard;hrim:0A793990;obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;;hrio:Cisgender;"""Cisgender""@en";;;
standard;hrim:68CA2B32;obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedCisgenderPerson;"""Self-identified Cisgender Person""@en";;;
standard;hrim:6F011CFF;obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedCisgenderPerson;"""Externally-attributed Cisgender Person""@en";;;
standard;hrim:8CB5F8B9;obo:GSSO_004240;"""cisgender""@en";hriv:hasExactMeaning;Not;hrio:Cisgender;"""Cisgender""@en";;;
standard;hrim:7668A41C;obo:GSSO_009316;"""administrative gender""@en";hriv:hasExactMeaning;;hrio:AdministrativeGender;"""Administrative Gender""@en";;;
standard;hrim:3A008FC2;obo:GSSO_011405;"""person assigned male at birth""@en";hriv:hasExactMeaning;;hrio:SexAtBirthMaleSexPerson;"""Sex-at-birth Male-sex Person""@en";;;
standard;hrim:3A798576;obo:GSSO_011405;"""UNVERIFIED""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeMaleGenderPerson;"""Administrative Male-gender Person""@en";;;
standard;hrim:599C8E09;obo:GSSO_011405;"""UNVERIFIED""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedMaleGenderPerson;"""Externally-attributed Male-gender Person""@en";;;
standard;hrim:959B56A6;obo:GSSO_011405;"""UNVERIFIED""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirthMaleSexPerson;"""Sex-at-birth Male-sex Person""@en";;;
standard;hrim:3F0F54AF;obo:NCIT_C17357;"""Gender""@en";hriv:hasExactMeaning;Not;hrio:Gender;"""Gender""@en";;;
standard;hrim:7810775A;obo:NCIT_C17357;"""Gender""@en";hriv:hasExactMeaning;;hrio:Gender;"""Gender""@en";;;
